,location,total_sqft,bath,price,bhk
75,5th Phase JP Nagar,552.0,1.0,23.5,1
76,5th Phase JP Nagar,1200.0,2.0,51.0,2
80,5th Phase JP Nagar,1030.0,2.0,57.0,2
81,5th Phase JP Nagar,1200.0,2.0,68.0,2
82,5th Phase JP Nagar,1190.0,2.0,61.8,2
83,5th Phase JP Nagar,4000.0,5.0,170.0,5
84,5th Phase JP Nagar,1080.0,2.0,53.0,2
85,5th Phase JP Nagar,1041.0,2.0,54.0,2
86,5th Phase JP Nagar,812.0,2.0,42.0,2
87,5th Phase JP Nagar,1010.0,2.0,57.0,2
89,5th Phase JP Nagar,2500.0,8.0,95.0,7
90,5th Phase JP Nagar,1075.0,2.0,60.0,2
91,5th Phase JP Nagar,2400.0,4.0,228.0,4
92,6th Phase JP Nagar,1192.0,2.0,74.0,2
93,6th Phase JP Nagar,1180.0,2.0,80.0,2
94,6th Phase JP Nagar,3245.0,4.0,250.0,4
96,6th Phase JP Nagar,1280.0,2.0,56.0,2
97,6th Phase JP Nagar,1140.0,2.0,65.0,2
98,6th Phase JP Nagar,600.0,1.0,75.0,1
99,6th Phase JP Nagar,2040.0,3.0,200.0,3
100,6th Phase JP Nagar,1213.0,2.0,63.0,2
102,6th Phase JP Nagar,1170.0,2.0,120.0,2
103,6th Phase JP Nagar,1216.0,2.0,60.0,2
104,6th Phase JP Nagar,1460.0,2.0,80.0,2
105,6th Phase JP Nagar,2003.0,3.0,200.0,3
107,6th Phase JP Nagar,1810.0,3.0,131.0,3
108,6th Phase JP Nagar,1515.0,2.0,135.0,3
109,6th Phase JP Nagar,1192.0,2.0,75.0,2
110,6th Phase JP Nagar,1280.0,2.0,88.0,2
111,7th Phase JP Nagar,1000.0,2.0,38.0,2
112,7th Phase JP Nagar,1080.0,2.0,72.0,2
113,7th Phase JP Nagar,1270.0,2.0,93.0,2
114,7th Phase JP Nagar,1420.0,2.0,100.0,3
115,7th Phase JP Nagar,1850.0,3.0,150.0,3
116,7th Phase JP Nagar,1245.0,2.0,94.0,2
117,7th Phase JP Nagar,1175.0,2.0,82.0,2
118,7th Phase JP Nagar,1400.0,2.0,95.0,3
119,7th Phase JP Nagar,3600.0,4.0,400.0,4
120,7th Phase JP Nagar,2225.0,3.0,160.0,3
121,7th Phase JP Nagar,1050.0,2.0,71.0,2
122,7th Phase JP Nagar,1100.0,2.0,46.0,2
123,7th Phase JP Nagar,918.0,2.0,50.49,2
124,7th Phase JP Nagar,1450.0,2.0,100.0,3
125,7th Phase JP Nagar,1040.0,2.0,39.52,2
126,7th Phase JP Nagar,1070.0,2.0,42.79,2
127,7th Phase JP Nagar,1190.0,2.0,49.98,2
128,7th Phase JP Nagar,1500.0,3.0,170.0,3
129,7th Phase JP Nagar,1420.0,2.0,96.0,3
130,7th Phase JP Nagar,1680.0,3.0,120.0,3
131,7th Phase JP Nagar,1050.0,2.0,42.0,2
132,7th Phase JP Nagar,980.0,2.0,69.0,2
133,7th Phase JP Nagar,1035.0,2.0,41.39,2
134,7th Phase JP Nagar,1370.0,2.0,56.17,2
135,7th Phase JP Nagar,1180.0,2.0,72.0,2
136,7th Phase JP Nagar,5080.0,7.0,450.0,6
141,7th Phase JP Nagar,1400.0,3.0,115.0,3
142,7th Phase JP Nagar,1075.0,2.0,42.99,2
143,7th Phase JP Nagar,1100.0,2.0,44.0,2
144,7th Phase JP Nagar,1270.0,2.0,83.0,2
146,7th Phase JP Nagar,2503.0,4.0,188.0,4
147,7th Phase JP Nagar,2200.0,3.0,190.0,3
148,7th Phase JP Nagar,1035.0,2.0,39.33,2
150,7th Phase JP Nagar,1050.0,2.0,42.0,2
152,7th Phase JP Nagar,1575.0,2.0,110.0,3
153,7th Phase JP Nagar,1850.0,3.0,140.0,3
156,7th Phase JP Nagar,3600.0,3.0,410.0,4
157,7th Phase JP Nagar,4800.0,7.0,170.0,7
159,7th Phase JP Nagar,1575.0,2.0,120.0,3
160,7th Phase JP Nagar,1850.0,3.0,150.0,3
161,7th Phase JP Nagar,1680.0,3.0,120.0,3
162,7th Phase JP Nagar,1212.0,3.0,42.0,2
163,7th Phase JP Nagar,1175.0,2.0,82.5,2
166,7th Phase JP Nagar,1215.0,2.0,90.0,2
167,7th Phase JP Nagar,1050.0,2.0,75.0,2
168,7th Phase JP Nagar,1300.0,3.0,89.13,3
169,7th Phase JP Nagar,1130.0,2.0,73.0,2
170,7th Phase JP Nagar,1450.0,3.0,100.0,3
172,7th Phase JP Nagar,1050.0,2.0,50.0,2
173,7th Phase JP Nagar,1275.0,2.0,87.0,2
175,7th Phase JP Nagar,1650.0,3.0,110.0,3
176,7th Phase JP Nagar,850.0,2.0,42.0,2
177,7th Phase JP Nagar,1680.0,3.0,117.0,3
178,7th Phase JP Nagar,1850.0,3.0,150.0,3
179,7th Phase JP Nagar,1236.0,2.0,61.33,2
180,7th Phase JP Nagar,1000.0,2.0,53.0,2
181,7th Phase JP Nagar,1680.0,3.0,125.0,3
182,7th Phase JP Nagar,1675.0,2.0,135.0,3
183,7th Phase JP Nagar,1035.0,2.0,39.33,2
184,7th Phase JP Nagar,1187.0,2.0,59.0,2
185,7th Phase JP Nagar,1850.0,3.0,155.0,3
186,7th Phase JP Nagar,1000.0,2.0,61.0,2
187,7th Phase JP Nagar,1460.0,2.0,100.0,3
188,7th Phase JP Nagar,1650.0,3.0,110.0,3
189,7th Phase JP Nagar,1200.0,2.0,62.5,2
190,7th Phase JP Nagar,1000.0,2.0,70.65,2
191,7th Phase JP Nagar,1070.0,2.0,42.0,2
192,7th Phase JP Nagar,1080.0,2.0,75.0,2
193,7th Phase JP Nagar,2100.0,3.0,200.0,3
195,7th Phase JP Nagar,1680.0,3.0,125.0,3
196,7th Phase JP Nagar,1040.0,2.0,41.59,2
197,7th Phase JP Nagar,1100.0,2.0,44.0,2
198,7th Phase JP Nagar,1460.0,2.0,97.0,3
199,7th Phase JP Nagar,1120.0,2.0,65.0,2
200,7th Phase JP Nagar,1100.0,3.0,60.0,2
201,7th Phase JP Nagar,1790.0,3.0,120.0,3
202,7th Phase JP Nagar,1680.0,3.0,117.0,3
203,7th Phase JP Nagar,1050.0,2.0,77.0,2
204,7th Phase JP Nagar,1174.0,2.0,47.0,2
205,7th Phase JP Nagar,1050.0,2.0,75.0,2
206,7th Phase JP Nagar,1040.0,2.0,75.0,2
207,7th Phase JP Nagar,1400.0,2.0,95.0,3
208,7th Phase JP Nagar,1800.0,3.0,130.0,3
209,7th Phase JP Nagar,1050.0,2.0,68.0,2
211,7th Phase JP Nagar,1000.0,2.0,60.0,2
212,7th Phase JP Nagar,1680.0,3.0,125.0,3
213,7th Phase JP Nagar,980.0,2.0,86.0,2
215,7th Phase JP Nagar,1050.0,2.0,77.47,2
216,7th Phase JP Nagar,1270.0,2.0,80.0,2
218,7th Phase JP Nagar,1680.0,3.0,122.0,3
219,7th Phase JP Nagar,1070.0,2.0,42.79,2
220,7th Phase JP Nagar,1130.0,2.0,85.0,2
221,7th Phase JP Nagar,1680.0,3.0,130.0,3
224,7th Phase JP Nagar,2980.0,4.0,260.0,3
225,7th Phase JP Nagar,980.0,2.0,77.44,2
226,7th Phase JP Nagar,1680.0,3.0,112.0,3
228,7th Phase JP Nagar,2095.0,3.0,150.0,3
230,7th Phase JP Nagar,3200.0,4.0,350.0,4
231,7th Phase JP Nagar,1976.0,3.0,145.0,3
232,7th Phase JP Nagar,1600.0,2.0,110.0,3
233,7th Phase JP Nagar,1765.0,3.0,118.0,3
234,7th Phase JP Nagar,1275.0,2.0,88.0,3
235,7th Phase JP Nagar,1450.0,2.0,102.0,3
236,7th Phase JP Nagar,1035.0,2.0,39.33,2
237,7th Phase JP Nagar,1575.0,2.0,110.0,3
238,7th Phase JP Nagar,2100.0,3.0,200.0,3
240,7th Phase JP Nagar,750.0,1.0,47.0,1
241,7th Phase JP Nagar,1050.0,2.0,42.0,2
242,7th Phase JP Nagar,990.0,2.0,50.0,2
243,7th Phase JP Nagar,1000.0,1.0,60.0,1
245,7th Phase JP Nagar,1100.0,2.0,44.0,2
246,7th Phase JP Nagar,1430.0,2.0,102.0,3
247,7th Phase JP Nagar,1128.0,2.0,60.0,2
248,7th Phase JP Nagar,2100.0,3.0,190.0,3
249,7th Phase JP Nagar,1140.0,2.0,57.0,2
250,7th Phase JP Nagar,1420.0,3.0,90.0,3
251,7th Phase JP Nagar,1530.0,2.0,108.0,2
252,8th Phase JP Nagar,1073.5,2.0,54.005,2
253,8th Phase JP Nagar,451.0,1.0,29.9,1
255,8th Phase JP Nagar,1062.0,2.0,42.47,2
257,8th Phase JP Nagar,1455.0,3.0,73.31,3
258,8th Phase JP Nagar,871.0,2.0,55.0,2
259,8th Phase JP Nagar,1098.0,2.0,43.91,2
260,8th Phase JP Nagar,1800.0,3.0,80.0,3
262,8th Phase JP Nagar,1080.0,2.0,38.0,2
263,8th Phase JP Nagar,1059.0,2.0,34.5,2
264,8th Phase JP Nagar,1080.0,2.0,35.0,2
266,8th Phase JP Nagar,1062.0,2.0,42.47,2
267,8th Phase JP Nagar,500.0,1.0,31.0,1
268,8th Phase JP Nagar,1100.0,2.0,35.0,2
270,8th Phase JP Nagar,1035.0,2.0,39.33,2
271,8th Phase JP Nagar,909.0,2.0,40.9,2
272,8th Phase JP Nagar,1431.5,3.0,72.02,3
273,8th Phase JP Nagar,1900.0,4.0,90.0,3
274,8th Phase JP Nagar,500.0,1.0,30.0,1
275,8th Phase JP Nagar,1125.0,2.0,36.94,2
276,8th Phase JP Nagar,1200.0,3.0,110.0,4
277,8th Phase JP Nagar,1100.0,2.0,35.0,2
278,8th Phase JP Nagar,1089.0,2.0,43.55,2
280,8th Phase JP Nagar,1504.0,2.0,83.0,3
283,8th Phase JP Nagar,1089.0,2.0,43.55,2
285,8th Phase JP Nagar,1513.0,2.0,62.0,2
286,8th Phase JP Nagar,1298.0,2.0,59.0,2
287,8th Phase JP Nagar,1006.0,2.0,44.0,2
288,8th Phase JP Nagar,500.0,1.0,33.0,1
289,8th Phase JP Nagar,1160.0,2.0,95.0,2
290,8th Phase JP Nagar,1245.0,2.0,59.0,2
291,8th Phase JP Nagar,1510.0,2.0,80.0,2
292,8th Phase JP Nagar,3300.0,3.0,165.0,3
293,8th Phase JP Nagar,1730.0,5.0,75.0,5
296,8th Phase JP Nagar,1046.0,2.0,48.0,2
298,8th Phase JP Nagar,1408.0,3.0,80.0,3
300,9th Phase JP Nagar,1005.0,2.0,50.0,2
302,9th Phase JP Nagar,1100.0,2.0,65.0,2
303,9th Phase JP Nagar,1080.0,2.0,37.0,2
304,9th Phase JP Nagar,1035.0,2.0,45.0,2
305,9th Phase JP Nagar,5000.0,4.0,290.0,4
306,9th Phase JP Nagar,1164.0,2.0,56.0,2
307,9th Phase JP Nagar,1005.0,2.0,42.0,2
308,9th Phase JP Nagar,3500.0,4.0,300.0,4
309,9th Phase JP Nagar,1127.0,2.0,50.0,2
310,9th Phase JP Nagar,1005.0,2.0,43.0,2
311,9th Phase JP Nagar,835.0,2.0,37.0,2
312,9th Phase JP Nagar,1050.0,2.0,39.0,2
313,9th Phase JP Nagar,660.0,2.0,27.0,2
314,9th Phase JP Nagar,600.0,1.0,20.0,1
315,9th Phase JP Nagar,1466.0,2.0,71.0,2
316,9th Phase JP Nagar,1890.0,2.0,93.0,3
317,9th Phase JP Nagar,1079.0,2.0,60.0,2
318,9th Phase JP Nagar,1480.0,2.0,80.0,2
319,9th Phase JP Nagar,1200.0,2.0,80.0,2
320,9th Phase JP Nagar,905.0,2.0,32.0,2
321,9th Phase JP Nagar,1073.0,2.0,52.36,2
322,9th Phase JP Nagar,1719.3,2.0,88.0,3
323,9th Phase JP Nagar,1780.0,3.0,88.0,3
325,9th Phase JP Nagar,1522.0,3.0,90.0,3
328,9th Phase JP Nagar,890.0,2.0,45.0,2
330,9th Phase JP Nagar,5000.0,4.0,300.0,4
332,9th Phase JP Nagar,1050.0,2.0,35.0,2
333,9th Phase JP Nagar,1331.95,2.0,69.0,2
334,AECS Layout,1100.0,2.0,45.0,2
335,AECS Layout,1620.0,3.0,98.0,3
336,AECS Layout,1028.0,2.0,42.0,2
337,AECS Layout,1199.0,2.0,65.0,2
338,AECS Layout,1080.0,2.0,55.0,2
340,AECS Layout,1045.0,2.0,36.58,2
341,AECS Layout,1123.0,2.0,64.0,2
342,AECS Layout,1308.0,2.0,60.0,2
343,AECS Layout,1135.0,2.0,68.0,2
344,AECS Layout,1005.0,2.0,55.0,2
346,Abbigere,985.0,2.0,40.39,2
347,Abbigere,2200.0,6.0,68.0,6
348,Abbigere,765.0,2.0,30.0,1
349,Abbigere,880.0,2.0,35.0,2
350,Abbigere,795.0,2.0,32.54,2
351,Abbigere,1005.0,2.0,39.59,2
352,Abbigere,734.0,1.0,19.82,1
354,Abbigere,1020.0,2.0,41.82,2
357,Abbigere,985.0,2.0,40.39,2
358,Abbigere,2500.0,6.0,81.0,6
359,Abbigere,795.0,2.0,32.54,2
360,Abbigere,1130.0,2.0,46.33,2
361,Abbigere,795.0,1.0,32.6,2
362,Abbigere,3000.0,8.0,150.0,8
363,Abbigere,985.0,2.0,38.92,2
364,Abbigere,1000.0,2.0,41.0,2
365,Abbigere,995.0,2.0,40.8,2
366,Abbigere,1020.0,2.0,40.8,2
367,Akshaya Nagar,2061.0,3.0,200.0,3
368,Akshaya Nagar,1388.0,2.0,57.0,2
369,Akshaya Nagar,1070.0,2.0,54.0,2
371,Akshaya Nagar,1280.0,2.0,58.0,2
372,Akshaya Nagar,1662.0,3.0,85.1,3
373,Akshaya Nagar,1897.0,3.0,120.0,3
374,Akshaya Nagar,1410.0,2.0,75.0,3
375,Akshaya Nagar,1360.0,2.0,85.0,3
376,Akshaya Nagar,1476.0,3.0,120.0,3
378,Akshaya Nagar,1720.0,3.0,134.0,3
379,Akshaya Nagar,1410.0,2.0,80.0,3
380,Akshaya Nagar,1662.0,3.0,85.0,3
381,Akshaya Nagar,1662.0,3.0,85.5,3
382,Akshaya Nagar,1280.0,2.0,60.0,2
383,Akshaya Nagar,1666.0,3.0,95.0,3
384,Akshaya Nagar,1575.0,3.0,90.0,3
385,Akshaya Nagar,1430.0,2.0,75.0,3
386,Akshaya Nagar,1419.0,2.0,73.0,3
387,Akshaya Nagar,1280.0,2.0,60.0,2
388,Akshaya Nagar,1200.0,2.0,50.0,2
389,Akshaya Nagar,1092.0,2.0,60.0,2
390,Akshaya Nagar,1690.0,3.0,85.0,3
391,Akshaya Nagar,1700.0,3.0,80.0,3
392,Akshaya Nagar,1897.0,4.0,93.0,3
393,Akshaya Nagar,1884.0,3.0,98.0,3
394,Akshaya Nagar,2061.0,3.0,175.0,3
396,Akshaya Nagar,1314.0,2.0,68.8,2
397,Akshaya Nagar,1690.0,3.0,85.0,3
398,Akshaya Nagar,1265.0,2.0,67.0,2
399,Akshaya Nagar,1126.0,2.0,55.0,2
401,Akshaya Nagar,1662.0,3.0,90.0,3
402,Akshaya Nagar,1420.0,2.0,75.0,3
404,Akshaya Nagar,1412.0,2.0,88.0,3
405,Akshaya Nagar,1434.0,3.0,84.0,3
406,Akshaya Nagar,1890.0,4.0,100.0,3
407,Akshaya Nagar,2650.0,3.0,125.0,3
408,Akshaya Nagar,1419.0,2.0,87.0,3
409,Akshaya Nagar,1300.0,2.0,54.0,2
410,Akshaya Nagar,1690.0,3.0,85.0,3
411,Akshaya Nagar,1000.0,2.0,38.0,2
412,Akshaya Nagar,1113.0,2.0,52.0,2
413,Akshaya Nagar,1820.0,4.0,95.0,3
414,Akshaya Nagar,2061.0,4.0,175.0,3
415,Akshaya Nagar,2000.0,1.0,200.0,1
416,Akshaya Nagar,1100.0,2.0,48.0,2
417,Akshaya Nagar,1896.0,3.0,102.0,3
418,Akshaya Nagar,1300.0,2.0,66.0,2
419,Akshaya Nagar,1225.0,2.0,68.0,2
420,Akshaya Nagar,1179.0,2.0,51.0,2
421,Akshaya Nagar,1421.0,2.0,73.0,3
422,Akshaya Nagar,1200.0,2.0,45.0,2
423,Akshaya Nagar,1893.0,4.0,95.0,3
424,Akshaya Nagar,900.0,2.0,45.0,2
425,Akshaya Nagar,1200.0,4.0,125.0,4
426,Ambalipura,1105.0,2.0,75.0,2
427,Ambalipura,1800.0,3.0,110.0,3
428,Ambalipura,1150.0,2.0,80.0,2
429,Ambalipura,1250.0,2.0,66.25,2
430,Ambalipura,1332.0,2.0,79.0,2
431,Ambalipura,1730.0,3.0,120.0,3
432,Ambalipura,896.0,2.0,30.13,2
433,Ambalipura,3500.0,3.0,198.0,3
434,Ambalipura,1230.0,2.0,66.25,2
435,Ambalipura,1351.0,2.0,77.0,2
437,Ambalipura,3300.0,4.0,329.0,4
438,Ambalipura,950.0,2.0,31.95,2
439,Ambalipura,1625.0,2.0,145.0,3
440,Ambalipura,1817.0,3.0,102.0,3
442,Ambalipura,1303.0,2.0,80.0,2
443,Ambalipura,1607.0,2.0,112.0,3
444,Ambalipura,770.0,1.0,43.82,1
445,Ambalipura,860.0,2.0,28.93,2
446,Ambalipura,1700.0,2.0,76.0,2
447,Ambalipura,1060.0,2.0,58.5,2
448,Ambalipura,1650.0,3.0,100.0,3
449,Ambalipura,1607.0,2.0,112.0,3
450,Ambalipura,1198.0,2.0,80.0,2
451,Ambalipura,1615.0,2.0,150.0,3
452,Ambedkar Nagar,2900.0,3.0,300.0,4
453,Ambedkar Nagar,1935.0,4.0,130.0,3
454,Ambedkar Nagar,1424.0,2.0,90.0,2
455,Ambedkar Nagar,2225.0,4.0,169.0,3
456,Ambedkar Nagar,1862.0,3.0,120.0,3
457,Ambedkar Nagar,1850.0,4.0,139.0,3
458,Ambedkar Nagar,1936.0,4.0,126.0,3
459,Ambedkar Nagar,1862.0,3.0,119.0,3
460,Ambedkar Nagar,5530.0,5.0,627.0,5
461,Ambedkar Nagar,1424.0,2.0,90.0,2
462,Ambedkar Nagar,2150.0,4.0,125.0,3
463,Ambedkar Nagar,3530.0,4.0,290.0,4
464,Ambedkar Nagar,1856.0,3.0,120.0,3
465,Ambedkar Nagar,1852.0,3.0,130.0,3
466,Ambedkar Nagar,1850.0,4.0,120.0,3
467,Ambedkar Nagar,1367.0,2.0,86.0,2
468,Ambedkar Nagar,3565.0,4.0,255.0,4
469,Ambedkar Nagar,1409.0,2.0,95.0,2
470,Ambedkar Nagar,1950.0,4.0,120.0,3
471,Ambedkar Nagar,1921.0,4.0,129.0,3
472,Ambedkar Nagar,1920.0,4.0,121.0,3
473,Ambedkar Nagar,5000.0,4.0,536.0,4
474,Ambedkar Nagar,1935.0,4.0,125.0,3
475,Ambedkar Nagar,1852.0,4.0,122.0,3
476,Ambedkar Nagar,1950.0,4.0,120.0,3
477,Ambedkar Nagar,1852.0,3.0,125.0,3
478,Ambedkar Nagar,2900.0,3.0,297.0,3
479,Ambedkar Nagar,1850.0,4.0,121.0,3
480,Ambedkar Nagar,1425.0,2.0,94.0,2
481,Ambedkar Nagar,2395.0,4.0,150.0,3
482,Amruthahalli,900.0,2.0,40.0,2
483,Amruthahalli,1200.0,2.0,55.0,2
484,Amruthahalli,4400.0,3.0,475.0,2
485,Amruthahalli,1900.0,3.0,135.0,3
486,Amruthahalli,924.0,2.0,45.0,2
487,Amruthahalli,900.0,2.0,60.0,2
488,Amruthahalli,1100.0,2.0,45.0,2
489,Amruthahalli,1200.0,2.0,55.0,2
493,Amruthahalli,1450.0,2.0,85.0,3
494,Amruthahalli,1200.0,2.0,55.0,2
495,Amruthahalli,1250.0,2.0,79.0,2
496,Amruthahalli,1190.0,2.0,50.0,2
497,Amruthahalli,1202.0,2.0,65.0,2
498,Amruthahalli,1340.0,2.0,75.0,2
499,Amruthahalli,2650.0,4.0,175.0,3
500,Amruthahalli,1450.0,2.0,90.0,3
501,Amruthahalli,1025.0,2.0,42.0,2
502,Amruthahalli,485.0,1.0,19.5,1
503,Amruthahalli,600.0,1.0,55.0,1
504,Anandapura,1167.0,2.0,43.76,2
505,Anandapura,1000.0,2.0,55.0,2
506,Anandapura,1141.0,2.0,42.79,2
507,Anandapura,900.0,2.0,64.0,2
508,Anandapura,1475.0,2.0,50.0,4
510,Anandapura,1200.0,2.0,67.0,2
511,Anandapura,1200.0,2.0,58.0,2
512,Anandapura,1151.0,2.0,43.1,2
513,Anandapura,1141.0,2.0,42.75,2
514,Anandapura,900.0,2.0,48.0,2
515,Anandapura,1749.0,4.0,90.0,4
516,Anandapura,1151.0,2.0,42.9,2
518,Anandapura,1250.0,2.0,45.0,2
519,Anandapura,875.0,2.0,57.0,2
520,Anandapura,1151.0,2.0,43.16,2
521,Anandapura,1200.0,2.0,58.0,2
522,Anandapura,616.0,3.0,45.0,2
523,Anandapura,1200.0,2.0,66.0,3
524,Anandapura,1415.0,2.0,74.0,3
525,Anandapura,1200.0,2.0,50.0,2
526,Anandapura,1141.0,2.0,50.0,2
528,Ananth Nagar,500.0,1.0,14.0,1
529,Ananth Nagar,1100.0,2.0,31.5,2
530,Ananth Nagar,982.0,2.0,24.55,2
531,Ananth Nagar,500.0,2.0,14.0,1
532,Ananth Nagar,1109.0,2.0,60.0,2
533,Ananth Nagar,1200.0,2.0,65.0,3
534,Ananth Nagar,900.0,2.0,22.5,2
535,Ananth Nagar,908.0,2.0,26.0,2
536,Ananth Nagar,870.0,2.0,36.0,2
537,Ananth Nagar,937.0,2.0,35.0,2
538,Ananth Nagar,960.0,2.0,37.0,2
539,Ananth Nagar,500.0,1.0,14.0,1
540,Ananth Nagar,1000.0,2.0,29.7,2
541,Ananth Nagar,850.0,2.0,25.99,2
542,Ananth Nagar,902.0,2.0,25.26,2
543,Ananth Nagar,1470.0,3.0,54.0,3
544,Ananth Nagar,810.0,2.0,25.5,2
545,Ananth Nagar,890.0,2.0,27.0,2
546,Ananth Nagar,1200.0,2.0,36.0,2
548,Ananth Nagar,1319.0,3.0,42.0,3
549,Ananth Nagar,1000.0,2.0,25.0,2
550,Ananth Nagar,902.0,2.0,25.0,2
551,Ananth Nagar,930.0,2.0,25.99,2
552,Ananth Nagar,1074.0,2.0,26.85,2
553,Ananth Nagar,500.0,1.0,14.0,1
554,Ananth Nagar,1010.0,2.0,38.0,2
555,Ananth Nagar,992.0,2.0,24.8,2
557,Anekal,656.0,2.0,22.0,2
558,Anekal,620.0,2.0,22.0,2
559,Anekal,600.0,1.0,16.5,1
560,Anekal,925.0,2.0,40.0,2
561,Anekal,530.0,1.0,18.0,1
564,Anekal,351.0,1.0,16.0,1
565,Anekal,1035.0,2.0,38.3,2
566,Anekal,888.0,2.0,34.0,2
570,Anekal,997.0,3.0,55.0,3
572,Anekal,1500.0,4.0,99.0,3
573,Anekal,766.0,2.0,28.0,2
574,Anekal,967.0,2.0,45.0,3
575,Anekal,620.0,1.0,23.5,2
580,Anekal,400.0,1.0,11.5,1
581,Anekal,456.0,1.0,15.0,1
584,Anekal,2400.0,4.0,95.0,3
586,Anekal,1733.5,3.0,120.0,3
589,Anekal,420.0,1.0,12.5,1
590,Anekal,614.0,1.0,28.0,2
591,Anekal,1140.0,2.0,52.0,2
592,Anekal,625.0,1.0,25.0,2
593,Anjanapura,1850.0,4.0,86.0,4
594,Anjanapura,1070.0,2.0,39.0,2
595,Anjanapura,1500.0,3.0,121.0,3
596,Anjanapura,1070.0,2.0,37.0,2
597,Anjanapura,950.0,2.0,40.0,2
598,Anjanapura,1280.0,2.0,45.0,3
599,Anjanapura,710.0,2.0,25.0,2
601,Anjanapura,950.0,2.0,32.0,2
602,Anjanapura,1800.0,4.0,55.0,4
603,Anjanapura,1843.0,3.0,87.54,3
604,Anjanapura,1076.0,2.0,30.13,2
605,Anjanapura,950.0,2.0,30.0,2
